	sample	lambda
197	('EP081373', 9, 'EP081373_K90_BCKD.otu_table.biom')	0.0
198	('EP082756', 11, 'EP082756_K110_BCKD.otu_table.biom')	0.38
199	('EP082756', 12, 'EP082756_K120_MCKD.otu_table.biom')	0.63
200	('EP082756', 2, 'EP082756_K20_MCKD.otu_table.biom')	0.0
201	('EP082756', 3, 'EP082756_K30_MCKD.otu_table.biom')	0.0
202	('EP082756', 4, 'EP082756_K40_MCKD.otu_table.biom')	0.0
203	('EP082756', 5, 'EP082756_K50_MCKD.otu_table.biom')	0.0
204	('EP082756', 6, 'EP082756_K60_MCKD.otu_table.biom')	1.0
205	('EP082756', 9, 'EP082756_K90_BCKD.otu_table.biom')	1.0
206	('EP085140', 2, 'EP085140_K20_MCKD.otu_table.biom')	0.51
207	('EP087695', 2, 'EP087695_K20_MCKD.otu_table.biom')	1.0
208	('EP087695', 3, 'EP087695_K30_MCKD.otu_table.biom')	0.0
209	('EP087695', 4, 'EP087695_K40_MCKD.otu_table.biom')	0.0
210	('EP087695', 5, 'EP087695_K50_BCKD.otu_table.biom')	0.0
211	('EP087695', 6, 'EP087695_K60_MCKD.otu_table.biom')	0.0
212	('EP087695', 7, 'EP087695_K70_BCKD.otu_table.biom')	0.0
213	('EP090347', 2, 'EP090347_K20_MCKD.otu_table.biom')	0.0
214	('EP090347', 3, 'EP090347_K30_MCKD.otu_table.biom')	0.0
215	('EP090829', 2, 'EP090829_K20_MCKD.otu_table.biom')	0.0
216	('EP090829', 3, 'EP090829_K30_MCKD.otu_table.biom')	0.0
217	('EP090829', 4, 'EP090829_K40_MCKD.otu_table.biom')	0.0
218	('EP090829', 7, 'EP090829_K70_BCKD.otu_table.biom')	0.0
219	('EP090829', 8, 'EP090829_K80_MCKD.otu_table.biom')	0.0
220	('EP090829', 9, 'EP090829_K90_BCKD.otu_table.biom')	0.0
221	('EP093201', 4, 'EP093201_K40_MCKD.otu_table.biom')	0.0
222	('EP093201', 5, 'EP093201_K50_MCKD.otu_table.biom')	0.0
223	('EP093201', 8, 'EP093201_K80_BC1D.otu_table.biom')	0.0
224	('EP094101', 3, 'EP094101_K30_BCKD.otu_table.biom')	0.0
225	('EP094101', 4, 'EP094101_K40_BCKD.otu_table.biom')	0.52
226	('EP096310', 2, 'EP096310_K20_BCKD.otu_table.biom')	0.0
227	('EP096310', 4, 'EP096310_K40_MCKD.otu_table.biom')	0.0
228	('EP096310', 5, 'EP096310_K50_BCKD.otu_table.biom')	0.0
229	('EP096728', 2, 'EP096728_K20_MCKD.otu_table.biom')	0.0
230	('EP096728', 3, 'EP096728_K30_MCKD.otu_table.biom')	0.0
231	('EP096728', 5, 'EP096728_K50_MCKD.otu_table.biom')	0.0
232	('EP096728', 6, 'EP096728_K60_BC1D.otu_table.biom')	0.42
233	('EP097937', 2, 'EP097937_K20_MCKD.otu_table.biom')	0.0
234	('EP097937', 3, 'EP097937_K30_MCKD.otu_table.biom')	0.0
235	('EP097937', 5, 'EP097937_K50_BCKD.otu_table.biom')	1.0
236	('EP097937', 7, 'EP097937_K70_MCKD.otu_table.biom')	1.0
237	('EP097937', 8, 'EP097937_K80_BCKD.otu_table.biom')	0.0
238	('EP098909', 2, 'EP098909_K20_MCKD.otu_table.biom')	0.0
239	('EP098909', 3, 'EP098909_K30_MCKD.otu_table.biom')	0.0
240	('EP098909', 4, 'EP098909_K40_MCKD.otu_table.biom')	0.0
241	('EP098909', 5, 'EP098909_K50_BCKD.otu_table.biom')	0.51
242	('EP098909', 8, 'EP098909_K80_BCKD.otu_table.biom')	1.0
243	('EP098909', 9, 'EP098909_K90_MCKD.otu_table.biom')	0.07
244	('EP100948', 2, 'EP100948_K20_MCKD.otu_table.biom')	0.0
245	('EP100948', 3, 'EP100948_K30_MCKD.otu_table.biom')	0.0
246	('EP100948', 6, 'EP100948_K60_MCKD.otu_table.biom')	0.0
247	('EP100948', 7, 'EP100948_K70_BC1D.otu_table.biom')	0.0
248	('EP101319', 2, 'EP101319_K20_MCKD.otu_table.biom')	0.0
249	('EP101319', 3, 'EP101319_K30_MCKD.otu_table.biom')	0.0
250	('EP101319', 5, 'EP101319_K50_BC1D.otu_table.biom')	0.0
251	('EP101319', 6, 'EP101319_K60_MCKD.otu_table.biom')	0.0
252	('EP101628', 2, 'EP101628_K20_MCKD.otu_table.biom')	0.0
253	('EP101628', 3, 'EP101628_K30_MCKD.otu_table.biom')	0.0
254	('EP101628', 4, 'EP101628_K40_MCKD.otu_table.biom')	0.0
255	('EP101628', 5, 'EP101628_K50_MCKD.otu_table.biom')	0.0
256	('EP101628', 6, 'EP101628_K60_BCKD.otu_table.biom')	0.0
257	('EP101628', 8, 'EP101628_K80_MCKD.otu_table.biom')	0.0
258	('EP101628', 9, 'EP101628_K90_BCKD.otu_table.biom')	0.0
259	('EP103789', 5, 'EP103789_K50_BCKD.otu_table.biom')	0.52
260	('EP103789', 7, 'EP103789_K70_MCKD.otu_table.biom')	0.0
261	('EP103789', 9, 'EP103789_K90_BCKD.otu_table.biom')	0.0
262	('EP104056', 2, 'EP104056_K20_MCKD.otu_table.biom')	1.0
263	('EP104056', 3, 'EP104056_K30_MCKD.otu_table.biom')	1.0
264	('EP104056', 4, 'EP104056_K40_MCKD.otu_table.biom')	0.0
265	('EP104056', 5, 'EP104056_K50_MCKD.otu_table.biom')	0.0
266	('EP104056', 6, 'EP104056_K60_BCKD.otu_table.biom')	0.0
267	('EP104056', 9, 'EP104056_K90_MCKD.otu_table.biom')	0.0
268	('EP107715', 3, 'EP107715_K30_BCKD.otu_table.biom')	0.0
269	('EP107715', 4, 'EP107715_K40_MCKD.otu_table.biom')	1.0
