	sample	lambda
175	('EP098909', 4, 'EP098909_K40_MRCD.otu_table.biom')	0.0
176	('EP098909', 5, 'EP098909_K50_BRCD.otu_table.biom')	0.0
177	('EP098909', 8, 'EP098909_K80_BRCD.otu_table.biom')	0.0
178	('EP101628', 2, 'EP101628_K20_MRCD.otu_table.biom')	1.0
179	('EP101628', 3, 'EP101628_K30_MRCD.otu_table.biom')	0.0
180	('EP101628', 4, 'EP101628_K40_MRCD.otu_table.biom')	1.0
181	('EP101628', 5, 'EP101628_K50_MRCD.otu_table.biom')	1.0
182	('EP101628', 6, 'EP101628_K60_BRCD.otu_table.biom')	1.0
183	('EP101628', 9, 'EP101628_K90_BRCD.otu_table.biom')	1.0
184	('EP103789', 5, 'EP103789_K50_BRCD.otu_table.biom')	0.0
185	('EP103789', 9, 'EP103789_K90_BRCD.otu_table.biom')	0.0
186	('EP104056', 1, 'EP104056_K10_MRCD.otu_table.biom')	0.0
187	('EP104056', 2, 'EP104056_K20_MRCD.otu_table.biom')	1.0
188	('EP104056', 3, 'EP104056_K30_MRCD.otu_table.biom')	1.0
189	('EP104056', 5, 'EP104056_K50_MRCD.otu_table.biom')	1.0
190	('EP104056', 6, 'EP104056_K60_BRCD.otu_table.biom')	0.0
191	('EP107715', 3, 'EP107715_K30_BRCD.otu_table.biom')	0.0
192	('EP107715', 7, 'EP107715_K70_BRCD.otu_table.biom')	0.0
193	('EP111886', 2, 'EP111886_K20_MRCD.otu_table.biom')	0.93
194	('EP111886', 3, 'EP111886_K30_MRCD.otu_table.biom')	0.0
195	('EP111886', 4, 'EP111886_K40_MRCD.otu_table.biom')	0.0
196	('EP111886', 6, 'EP111886_K60_BRCD.otu_table.biom')	1.0
197	('EP111886', 9, 'EP111886_K90_BRCD.otu_table.biom')	1.0
198	('EP113416', 2, 'EP113416_K20_MRCD.otu_table.biom')	0.0
199	('EP113416', 3, 'EP113416_K30_MRCD.otu_table.biom')	0.0
200	('EP113416', 4, 'EP113416_K40_MRCD.otu_table.biom')	0.0
201	('EP113416', 6, 'EP113416_K60_BRCD.otu_table.biom')	1.0
202	('EP113416', 7, 'EP113416_K70_BRCD.otu_table.biom')	0.0
203	('EP113600', 2, 'EP113600_K20_MRCD.otu_table.biom')	1.0
204	('EP113600', 3, 'EP113600_K30_MRCD.otu_table.biom')	1.0
205	('EP113600', 4, 'EP113600_K40_MRCD.otu_table.biom')	0.91
206	('EP113600', 5, 'EP113600_K50_BRCD.otu_table.biom')	0.0
207	('EP113600', 8, 'EP113600_K80_BRCD.otu_table.biom')	0.0
208	('EP113883', 2, 'EP113883_K20_MRCD.otu_table.biom')	1.0
209	('EP113883', 3, 'EP113883_K30_MRCD.otu_table.biom')	1.0
210	('EP113883', 5, 'EP113883_K50_BRCD.otu_table.biom')	0.0
211	('EP113883', 7, 'EP113883_K70_BRCD.otu_table.biom')	0.0
212	('EP117219', 1, 'EP117219_K10_MRCD.otu_table.biom')	0.0
213	('EP117219', 3, 'EP117219_K30_MRCD.otu_table.biom')	1.0
214	('EP117219', 4, 'EP117219_K40_MRCD.otu_table.biom')	1.0
215	('EP117219', 7, 'EP117219_K70_BRCD.otu_table.biom')	0.0
216	('EP117702', 2, 'EP117702_K20_MRCD.otu_table.biom')	1.0
217	('EP117702', 3, 'EP117702_K30_MRCD.otu_table.biom')	1.0
218	('EP117702', 4, 'EP117702_K40_MRCD.otu_table.biom')	1.0
219	('EP117702', 8, 'EP117702_K80_BRCD.otu_table.biom')	1.0
220	('EP117702', 9, 'EP117702_K90_BRCD.otu_table.biom')	1.0
221	('EP117915', 2, 'EP117915_K20_BRCD.otu_table.biom')	0.0
222	('EP117915', 5, 'EP117915_K50_BRCD.otu_table.biom')	0.0
223	('EP117915', 7, 'EP117915_K70_MRCD.otu_table.biom')	0.0
224	('EP120862', 1, 'EP120862_K10_MRCD.otu_table.biom')	0.0
225	('EP120862', 11, 'EP120862_K110_BRCD.otu_table.biom')	1.0
226	('EP120862', 13, 'EP120862_K130_BRCD.otu_table.biom')	1.0
227	('EP120862', 17, 'EP120862_K170_BRCD.otu_table.biom')	0.0
228	('EP120862', 18, 'EP120862_K180_BRCD.otu_table.biom')	1.0
229	('EP120862', 19, 'EP120862_K190_BRCD.otu_table.biom')	0.0
230	('EP120862', 2, 'EP120862_K20_BRCD.otu_table.biom')	1.0
231	('EP120862', 21, 'EP120862_K210_BRCD.otu_table.biom')	0.0
232	('EP120862', 22, 'EP120862_K220_BRCD.otu_table.biom')	0.0
233	('EP120862', 24, 'EP120862_K240_BRCD.otu_table.biom')	0.0
234	('EP120862', 25, 'EP120862_K250_BRCD.otu_table.biom')	1.0
235	('EP120862', 26, 'EP120862_K260_BRCD.otu_table.biom')	0.0
236	('EP120862', 28, 'EP120862_K280_BRCD.otu_table.biom')	0.0
237	('EP120862', 31, 'EP120862_K310_BRCD.otu_table.biom')	0.0
238	('EP120862', 32, 'EP120862_K320_BRCD.otu_table.biom')	0.0
239	('EP120862', 34, 'EP120862_K340_BRCD.otu_table.biom')	0.0
240	('EP120862', 35, 'EP120862_K350_BRCD.otu_table.biom')	0.0
241	('EP120862', 37, 'EP120862_K370_BRCD.otu_table.biom')	0.0
242	('EP120862', 39, 'EP120862_K390_BRCD.otu_table.biom')	0.0
243	('EP120862', 40, 'EP120862_K400_BRCD.otu_table.biom')	0.0
244	('EP120862', 43, 'EP120862_K430_BRCD.otu_table.biom')	0.0
245	('EP120862', 44, 'EP120862_K440_BRCD.otu_table.biom')	0.0
246	('EP120862', 46, 'EP120862_K460_BRCD.otu_table.biom')	0.0
247	('EP120862', 6, 'EP120862_K60_BRCD.otu_table.biom')	0.0
248	('EP120862', 7, 'EP120862_K70_BRCD.otu_table.biom')	1.0
249	('EP120862', 8, 'EP120862_K80_BRCD.otu_table.biom')	1.0
250	('EP120862', 9, 'EP120862_K90_BRCD.otu_table.biom')	1.0
251	('EP123585', 2, 'EP123585_K20_MRCD.otu_table.biom')	1.0
252	('EP123900', 11, 'EP123900_K110_BRCD.otu_table.biom')	0.0
253	('EP123900', 2, 'EP123900_K20_MRCD.otu_table.biom')	0.0
254	('EP123900', 3, 'EP123900_K30_MRCD.otu_table.biom')	1.0
255	('EP123900', 4, 'EP123900_K40_MRCD.otu_table.biom')	1.0
256	('EP123900', 5, 'EP123900_K50_MRCD.otu_table.biom')	0.0
257	('EP123900', 7, 'EP123900_K70_BRCD.otu_table.biom')	0.0
258	('EP126323', 1, 'EP126323_K10_MRCD.otu_table.biom')	0.0
259	('EP126323', 12, 'EP126323_K120_BRCD.otu_table.biom')	0.0
260	('EP126323', 15, 'EP126323_K150_BRCD.otu_table.biom')	0.0
261	('EP126323', 2, 'EP126323_K20_MRCD.otu_table.biom')	0.0
262	('EP126323', 6, 'EP126323_K60_BRCD.otu_table.biom')	1.0
263	('EP129024', 2, 'EP129024_K20_MRCD.otu_table.biom')	0.0
264	('EP129024', 3, 'EP129024_K30_MRCD.otu_table.biom')	0.0
265	('EP129024', 4, 'EP129024_K40_MRCD.otu_table.biom')	0.0
266	('EP129024', 5, 'EP129024_K50_BRCD.otu_table.biom')	0.0
267	('EP129024', 9, 'EP129024_K90_BRCD.otu_table.biom')	0.0
268	('EP129845', 11, 'EP129845_K110_BRCD.otu_table.biom')	0.0
269	('EP129845', 2, 'EP129845_K20_MRCD.otu_table.biom')	0.0
270	('EP129845', 4, 'EP129845_K40_MRCD.otu_table.biom')	1.0
271	('EP129845', 5, 'EP129845_K50_MRCD.otu_table.biom')	1.0
272	('EP129845', 6, 'EP129845_K60_MRCD.otu_table.biom')	1.0
273	('EP129845', 8, 'EP129845_K80_BRCD.otu_table.biom')	0.0
274	('EP131173', 2, 'EP131173_K20_MRCD.otu_table.biom')	0.0
275	('EP131173', 3, 'EP131173_K30_MRCD.otu_table.biom')	0.0
276	('EP131173', 4, 'EP131173_K40_MRCD.otu_table.biom')	0.0
277	('EP131173', 6, 'EP131173_K60_BRCD.otu_table.biom')	0.0
278	('EP131173', 9, 'EP131173_K90_BRCD.otu_table.biom')	0.0
279	('EP131838', 2, 'EP131838_K20_MRCD.otu_table.biom')	0.0
280	('EP131838', 3, 'EP131838_K30_MRCD.otu_table.biom')	0.0
281	('EP131838', 4, 'EP131838_K40_MRCD.otu_table.biom')	0.0
282	('EP131838', 6, 'EP131838_K60_BRCD.otu_table.biom')	0.68
283	('EP131838', 8, 'EP131838_K80_BRCD.otu_table.biom')	0.0
284	('EP134204', 1, 'EP134204_K10_MRCD.otu_table.biom')	0.91
285	('EP134204', 11, 'EP134204_K110_MRCD.otu_table.biom')	0.0
286	('EP134204', 3, 'EP134204_K30_MRCD.otu_table.biom')	0.0
287	('EP134204', 4, 'EP134204_K40_MRCD.otu_table.biom')	1.0
288	('EP134204', 5, 'EP134204_K50_MRCD.otu_table.biom')	1.0
289	('EP134204', 8, 'EP134204_K80_BRCD.otu_table.biom')	0.49
290	('EP136122', 2, 'EP136122_K20_MRCD.otu_table.biom')	1.0
291	('EP136122', 3, 'EP136122_K30_MRCD.otu_table.biom')	1.0
292	('EP136122', 4, 'EP136122_K40_MRCD.otu_table.biom')	0.0
293	('EP136122', 5, 'EP136122_K50_MRCD.otu_table.biom')	0.0
294	('EP136122', 6, 'EP136122_K60_MRCD.otu_table.biom')	1.0
295	('EP136122', 7, 'EP136122_K70_BRCD.otu_table.biom')	0.0
296	('EP137942', 6, 'EP137942_K60_BRCD.otu_table.biom')	1.0
297	('EP145184', 2, 'EP145184_K20_MRCD.otu_table.biom')	1.0
298	('EP145184', 3, 'EP145184_K30_MRCD.otu_table.biom')	1.0
299	('EP145184', 4, 'EP145184_K40_BRCD.otu_table.biom')	1.0
300	('EP145184', 6, 'EP145184_K60_BRCD.otu_table.biom')	0.0
301	('EP145184', 9, 'EP145184_K90_MRCD.otu_table.biom')	0.0
302	('EP153366', 1, 'EP153366_K10_MRCD.otu_table.biom')	0.0
303	('EP153366', 12, 'EP153366_K120_BRCD.otu_table.biom')	0.0
304	('EP153366', 2, 'EP153366_K20_MRCD.otu_table.biom')	0.0
305	('EP153366', 3, 'EP153366_K30_MRCD.otu_table.biom')	0.55
306	('EP153366', 4, 'EP153366_K40_MRCD.otu_table.biom')	1.0
307	('EP153366', 5, 'EP153366_K50_MRCD.otu_table.biom')	1.0
308	('EP153366', 6, 'EP153366_K60_MRCD.otu_table.biom')	1.0
309	('EP153366', 7, 'EP153366_K70_MRCD.otu_table.biom')	0.95
310	('EP154266', 12, 'EP154266_K120_BRCD.otu_table.biom')	1.0
311	('EP154266', 14, 'EP154266_K140_BRCD.otu_table.biom')	0.53
312	('EP154266', 2, 'EP154266_K20_MRCD.otu_table.biom')	0.0
313	('EP154266', 4, 'EP154266_K40_MRCD.otu_table.biom')	0.06
314	('EP154266', 5, 'EP154266_K50_MRCD.otu_table.biom')	1.0
315	('EP154266', 6, 'EP154266_K60_MRCD.otu_table.biom')	0.0
316	('EP154266', 7, 'EP154266_K70_MRCD.otu_table.biom')	0.0
317	('EP154266', 8, 'EP154266_K80_MRCD.otu_table.biom')	1.0
318	('EP154266', 9, 'EP154266_K90_MRCD.otu_table.biom')	0.0
319	('EP155239', 2, 'EP155239_K20_MRCD.otu_table.biom')	0.0
320	('EP155239', 4, 'EP155239_K40_BRCD.otu_table.biom')	0.0
321	('EP156198', 6, 'EP156198_K60_BRCD.otu_table.biom')	1.0
322	('EP156198', 7, 'EP156198_K70_BRCD.otu_table.biom')	0.0
323	('EP156198', 8, 'EP156198_K80_BRCD.otu_table.biom')	0.0
324	('EP164977', 1, 'EP164977_K10_MRCD.otu_table.biom')	0.0
325	('EP164977', 2, 'EP164977_K20_MRCD.otu_table.biom')	0.0
326	('EP164977', 3, 'EP164977_K30_MRCD.otu_table.biom')	0.0
327	('EP164977', 4, 'EP164977_K40_MRCD.otu_table.biom')	0.0
328	('EP164977', 5, 'EP164977_K50_MRCD.otu_table.biom')	0.0
329	('EP164977', 6, 'EP164977_K60_MRCD.otu_table.biom')	0.0
330	('EP164977', 7, 'EP164977_K70_BRCD.otu_table.biom')	1.0
331	('EP169772', 2, 'EP169772_K20_MRCD.otu_table.biom')	0.0
332	('EP169772', 3, 'EP169772_K30_MRCD.otu_table.biom')	0.0
333	('EP169772', 4, 'EP169772_K40_BRCD.otu_table.biom')	0.0
334	('EP169772', 7, 'EP169772_K70_BRCD.otu_table.biom')	0.0
335	('EP171330', 12, 'EP171330_K120_BRCD.otu_table.biom')	1.0
336	('EP171330', 2, 'EP171330_K20_MRCD.otu_table.biom')	0.2
337	('EP171330', 3, 'EP171330_K30_MRCD.otu_table.biom')	0.2
338	('EP171330', 4, 'EP171330_K40_MRCD.otu_table.biom')	0.0
339	('EP171330', 5, 'EP171330_K50_MRCD.otu_table.biom')	0.0
340	('EP171330', 6, 'EP171330_K60_MRCD.otu_table.biom')	1.0
341	('EP171330', 8, 'EP171330_K80_BRCD.otu_table.biom')	1.0
342	('EP174763', 2, 'EP174763_K20_MRCD.otu_table.biom')	0.0
343	('EP174763', 3, 'EP174763_K30_MRCD.otu_table.biom')	0.0
344	('EP174763', 5, 'EP174763_K50_BRCD.otu_table.biom')	0.0
345	('EP174763', 8, 'EP174763_K80_BRCD.otu_table.biom')	0.0
346	('EP175456', 2, 'EP175456_K20_MRCD.otu_table.biom')	1.0
347	('EP175456', 3, 'EP175456_K30_MRCD.otu_table.biom')	0.0
348	('EP175456', 4, 'EP175456_K40_MRCD.otu_table.biom')	0.55
349	('EP175456', 5, 'EP175456_K50_MRCD.otu_table.biom')	0.9
350	('EP175456', 6, 'EP175456_K60_BRCD.otu_table.biom')	0.0
351	('EP175456', 9, 'EP175456_K90_BRCD.otu_table.biom')	0.0
352	('EP175511', 4, 'EP175511_K40_BRCD.otu_table.biom')	0.0
353	('EP175511', 6, 'EP175511_K60_MRCD.otu_table.biom')	0.0
354	('EP179901', 4, 'EP179901_K40_BRCD.otu_table.biom')	0.89
355	('EP182444', 4, 'EP182444_K40_BRCD.otu_table.biom')	0.0
356	('EP182444', 7, 'EP182444_K70_MRCD.otu_table.biom')	0.0
357	('EP182444', 8, 'EP182444_K80_MRCD.otu_table.biom')	0.49
