	sample	lambda
236	('EP190835', 3, 'EP190835_K30_MV1D.otu_table.biom')	0.0
237	('EP190835', 5, 'EP190835_K50_MV1D.otu_table.biom')	0.0
238	('EP191772', 2, 'EP191772_K20_MV1D.otu_table.biom')	0.0
239	('EP191772', 3, 'EP191772_K30_MV1D.otu_table.biom')	0.0
240	('EP191772', 4, 'EP191772_K40_MV1D.otu_table.biom')	0.0
241	('EP191772', 5, 'EP191772_K50_MV1D.otu_table.biom')	0.0
242	('EP191772', 6, 'EP191772_K60_MV1D.otu_table.biom')	0.0
243	('EP191897', 3, 'EP191897_K30_MV1D.otu_table.biom')	1.0
244	('EP196783', 2, 'EP196783_K20_MV1D.otu_table.biom')	0.0
245	('EP198705', 2, 'EP198705_K20_MV1D.otu_table.biom')	0.0
246	('EP201349', 2, 'EP201349_K20_MV1D.otu_table.biom')	1.0
247	('EP202463', 2, 'EP202463_K20_MV1D.otu_table.biom')	1.0
248	('EP205465', 2, 'EP205465_K20_MV1D.otu_table.biom')	0.0
249	('EP205465', 3, 'EP205465_K30_MV1D.otu_table.biom')	0.0
250	('EP205465', 4, 'EP205465_K40_MV1D.otu_table.biom')	0.0
251	('EP205465', 5, 'EP205465_K50_MV1D.otu_table.biom')	0.0
252	('EP206375', 3, 'EP206375_K30_MV1D.otu_table.biom')	0.0
253	('EP206375', 4, 'EP206375_K40_MV1D.otu_table.biom')	0.0
254	('EP207166', 2, 'EP207166_K20_MV1D.otu_table.biom')	0.0
255	('EP207166', 3, 'EP207166_K30_MV1D.otu_table.biom')	0.0
256	('EP207828', 2, 'EP207828_K20_MV1D.otu_table.biom')	0.0
257	('EP209572', 2, 'EP209572_K20_MV1D.otu_table.biom')	0.0
258	('EP209572', 3, 'EP209572_K30_MV1D.otu_table.biom')	0.0
259	('EP209572', 4, 'EP209572_K40_MV1D.otu_table.biom')	1.0
260	('EP211731', 2, 'EP211731_K20_MV1D.otu_table.biom')	0.0
261	('EP213757', 2, 'EP213757_K20_MV1D.otu_table.biom')	1.0
262	('EP213757', 3, 'EP213757_K30_MV1D.otu_table.biom')	1.0
263	('EP213757', 4, 'EP213757_K40_MV1D.otu_table.biom')	1.0
264	('EP213757', 5, 'EP213757_K50_MV1D.otu_table.biom')	1.0
265	('EP213757', 6, 'EP213757_K60_MV1D.otu_table.biom')	1.0
266	('EP216429', 2, 'EP216429_K20_MV1D.otu_table.biom')	0.0
267	('EP216429', 3, 'EP216429_K30_MV1D.otu_table.biom')	1.0
268	('EP216429', 4, 'EP216429_K40_MV1D.otu_table.biom')	0.0
269	('EP217091', 5, 'EP217091_K50_MV1D.otu_table.biom')	0.0
270	('EP218239', 1, 'EP218239_K10_MV1D.otu_table.biom')	0.0
271	('EP218239', 2, 'EP218239_K20_MV1D.otu_table.biom')	0.0
272	('EP218239', 4, 'EP218239_K40_MV1D.otu_table.biom')	0.0
273	('EP218253', 2, 'EP218253_K20_MV1D.otu_table.biom')	0.0
274	('EP218253', 3, 'EP218253_K30_MV1D.otu_table.biom')	0.0
275	('EP218253', 4, 'EP218253_K40_MV1D.otu_table.biom')	0.0
276	('EP218253', 5, 'EP218253_K50_MV1D.otu_table.biom')	0.0
277	('EP219711', 3, 'EP219711_K30_MV1D.otu_table.biom')	0.0
278	('EP219711', 4, 'EP219711_K40_MV1D.otu_table.biom')	0.0
279	('EP219711', 5, 'EP219711_K50_MV1D.otu_table.biom')	0.0
280	('EP219915', 2, 'EP219915_K20_MV1D.otu_table.biom')	0.0
281	('EP219915', 3, 'EP219915_K30_MV1D.otu_table.biom')	0.0
282	('EP222037', 2, 'EP222037_K20_MV1D.otu_table.biom')	0.0
283	('EP222037', 3, 'EP222037_K30_MV1D.otu_table.biom')	0.0
284	('EP222037', 4, 'EP222037_K40_MV1D.otu_table.biom')	0.0
285	('EP222037', 6, 'EP222037_K60_MV1D.otu_table.biom')	1.0
286	('EP223167', 2, 'EP223167_K20_MV1D.otu_table.biom')	0.0
287	('EP223167', 3, 'EP223167_K30_MV1D.otu_table.biom')	0.0
288	('EP223167', 4, 'EP223167_K40_MV1D.otu_table.biom')	0.0
289	('EP223167', 5, 'EP223167_K50_MV1D.otu_table.biom')	0.0
290	('EP227762', 8, 'EP227762_K80_MV1D.otu_table.biom')	0.0
291	('EP229454', 2, 'EP229454_K20_MV1D.otu_table.biom')	0.0
292	('EP229454', 3, 'EP229454_K30_MV1D.otu_table.biom')	0.0
293	('EP229454', 4, 'EP229454_K40_MV1D.otu_table.biom')	1.0
294	('EP229454', 5, 'EP229454_K50_MV1D.otu_table.biom')	1.0
295	('EP230041', 1, 'EP230041_K10_MV1D.otu_table.biom')	0.0
296	('EP230041', 3, 'EP230041_K30_MV1D.otu_table.biom')	0.0
297	('EP230041', 4, 'EP230041_K40_MV1D.otu_table.biom')	0.0
298	('EP230041', 6, 'EP230041_K60_MV1D.otu_table.biom')	0.0
299	('EP230041', 9, 'EP230041_K90_MV1D.otu_table.biom')	0.0
300	('EP230807', 2, 'EP230807_K20_MV1D.otu_table.biom')	1.0
301	('EP230807', 3, 'EP230807_K30_MV1D.otu_table.biom')	1.0
302	('EP230807', 4, 'EP230807_K40_MV1D.otu_table.biom')	0.54
303	('EP233566', 2, 'EP233566_K20_MV1D.otu_table.biom')	0.0
304	('EP233566', 3, 'EP233566_K30_MV1D.otu_table.biom')	0.0
305	('EP235198', 3, 'EP235198_K30_MV1D.otu_table.biom')	0.0
306	('EP235198', 4, 'EP235198_K40_MV1D.otu_table.biom')	1.0
307	('EP235198', 5, 'EP235198_K50_MV1D.otu_table.biom')	1.0
308	('EP237361', 2, 'EP237361_K20_MV1D.otu_table.biom')	0.0
309	('EP237361', 3, 'EP237361_K30_MV1D.otu_table.biom')	0.0
310	('EP237361', 4, 'EP237361_K40_MV1D.otu_table.biom')	0.0
311	('EP237361', 5, 'EP237361_K50_MV1D.otu_table.biom')	1.0
312	('EP238282', 1, 'EP238282_K10_MV1D.otu_table.biom')	0.0
313	('EP238282', 2, 'EP238282_K20_MV1D.otu_table.biom')	1.0
314	('EP238282', 3, 'EP238282_K30_MV1D.otu_table.biom')	0.12
315	('EP238282', 4, 'EP238282_K40_MV1D.otu_table.biom')	1.0
316	('EP238905', 2, 'EP238905_K20_MV1D.otu_table.biom')	0.0
317	('EP238905', 3, 'EP238905_K30_MV1D.otu_table.biom')	0.0
318	('EP238905', 4, 'EP238905_K40_MV1D.otu_table.biom')	0.0
319	('EP238905', 5, 'EP238905_K50_MV1D.otu_table.biom')	0.0
320	('EP239957', 2, 'EP239957_K20_MV1D.otu_table.biom')	0.0
321	('EP243415', 2, 'EP243415_K20_MV1D.otu_table.biom')	0.0
322	('EP243415', 3, 'EP243415_K30_MV1D.otu_table.biom')	0.0
323	('EP243618', 2, 'EP243618_K20_MV1D.otu_table.biom')	0.0
324	('EP243618', 3, 'EP243618_K30_MV1D.otu_table.biom')	0.0
325	('EP243618', 4, 'EP243618_K40_MV1D.otu_table.biom')	0.0
326	('EP243618', 5, 'EP243618_K50_MV1D.otu_table.biom')	0.0
327	('EP243618', 6, 'EP243618_K60_MV1D.otu_table.biom')	0.0
328	('EP243984', 2, 'EP243984_K20_MV1D.otu_table.biom')	0.0
329	('EP243984', 3, 'EP243984_K30_MV1D.otu_table.biom')	0.0
330	('EP243984', 6, 'EP243984_K60_MV1D.otu_table.biom')	0.0
331	('EP244800', 2, 'EP244800_K20_MV1D.otu_table.biom')	0.0
332	('EP244800', 3, 'EP244800_K30_MV1D.otu_table.biom')	0.0
333	('EP246574', 2, 'EP246574_K20_MV1D.otu_table.biom')	0.0
334	('EP246574', 3, 'EP246574_K30_MV1D.otu_table.biom')	0.0
335	('EP246574', 4, 'EP246574_K40_MV1D.otu_table.biom')	0.0
336	('EP246574', 5, 'EP246574_K50_MV1D.otu_table.biom')	0.0
337	('EP247202', 2, 'EP247202_K20_MV1D.otu_table.biom')	0.0
338	('EP247202', 3, 'EP247202_K30_MV1D.otu_table.biom')	0.0
339	('EP247202', 4, 'EP247202_K40_MV1D.otu_table.biom')	1.0
340	('EP247202', 5, 'EP247202_K50_MV1D.otu_table.biom')	0.94
341	('EP247202', 6, 'EP247202_K60_MV1D.otu_table.biom')	0.0
342	('EP247202', 7, 'EP247202_K70_MV1D.otu_table.biom')	0.12
343	('EP247445', 2, 'EP247445_K20_MV1D.otu_table.biom')	1.0
344	('EP247445', 3, 'EP247445_K30_MV1D.otu_table.biom')	1.0
345	('EP247445', 4, 'EP247445_K40_MV1D.otu_table.biom')	1.0
346	('EP247445', 5, 'EP247445_K50_MV1D.otu_table.biom')	0.0
347	('EP247445', 6, 'EP247445_K60_MV1D.otu_table.biom')	1.0
348	('EP247445', 7, 'EP247445_K70_MV1D.otu_table.biom')	1.0
349	('EP247445', 9, 'EP247445_K90_MV1D.otu_table.biom')	1.0
350	('EP249375', 2, 'EP249375_K20_MV1D.otu_table.biom')	1.0
351	('EP251134', 2, 'EP251134_K20_MV1D.otu_table.biom')	0.0
352	('EP251134', 3, 'EP251134_K30_MV1D.otu_table.biom')	0.0
353	('EP251134', 4, 'EP251134_K40_MV1D.otu_table.biom')	0.0
354	('EP251134', 5, 'EP251134_K50_MV1D.otu_table.biom')	0.0
355	('EP251134', 6, 'EP251134_K60_MV1D.otu_table.biom')	0.0
356	('EP253266', 3, 'EP253266_K30_MV1D.otu_table.biom')	1.0
357	('EP253266', 5, 'EP253266_K50_MV1D.otu_table.biom')	1.0
