	sample	lambda
253	('EP694646', 9, 'EP694646_K90_BS1D.otu_table.biom')	0.0
254	('EP707684', 8, 'EP707684_K80_BS1D.otu_table.biom')	0.0
255	('EP708835', 6, 'EP708835_K60_BS1D.otu_table.biom')	0.0
256	('EP717203', 6, 'EP717203_K60_BS1D.otu_table.biom')	1.0
257	('EP719882', 4, 'EP719882_K40_BS1D.otu_table.biom')	0.0
258	('EP724185', 9, 'EP724185_K90_BS1D.otu_table.biom')	0.0
259	('EP727301', 7, 'EP727301_K70_BS1D.otu_table.biom')	0.0
260	('EP733790', 7, 'EP733790_K70_BS1D.otu_table.biom')	0.21
261	('EP739912', 7, 'EP739912_K70_BS1D.otu_table.biom')	0.0
262	('EP740843', 9, 'EP740843_K90_BS1D.otu_table.biom')	0.0
263	('EP749232', 8, 'EP749232_K80_BS1D.otu_table.biom')	1.0
264	('EP750568', 8, 'EP750568_K80_BS1D.otu_table.biom')	1.0
265	('EP750844', 8, 'EP750844_K80_BS1D.otu_table.biom')	0.0
266	('EP751500', 5, 'EP751500_K50_BS1D.otu_table.biom')	0.0
267	('EP752976', 7, 'EP752976_K70_BS1D.otu_table.biom')	0.0
268	('EP754016', 3, 'EP754016_K30_BS1D.otu_table.biom')	0.0
269	('EP758715', 7, 'EP758715_K70_BS1D.otu_table.biom')	0.55
270	('EP759641', 7, 'EP759641_K70_BS1D.otu_table.biom')	0.0
271	('EP761009', 9, 'EP761009_K90_BS1D.otu_table.biom')	1.0
272	('EP765637', 14, 'EP765637_K140_BS1D.otu_table.biom')	1.0
273	('EP766458', 7, 'EP766458_K70_BS1D.otu_table.biom')	0.0
274	('EP769777', 5, 'EP769777_K50_BS1D.otu_table.biom')	0.0
275	('EP771695', 16, 'EP771695_K160_BS1D.otu_table.biom')	0.0
276	('EP773241', 6, 'EP773241_K60_BS1D.otu_table.biom')	0.0
277	('EP783101', 9, 'EP783101_K90_BS1D.otu_table.biom')	1.0
278	('EP785033', 7, 'EP785033_K70_BS1D.otu_table.biom')	0.0
279	('EP786740', 7, 'EP786740_K70_BS1D.otu_table.biom')	0.0
280	('EP791525', 8, 'EP791525_K80_BS1D.otu_table.biom')	1.0
281	('EP791691', 5, 'EP791691_K50_BS1D.otu_table.biom')	0.0
282	('EP791888', 9, 'EP791888_K90_BS1D.otu_table.biom')	0.0
283	('EP798108', 8, 'EP798108_K80_BS1D.otu_table.biom')	0.0
284	('EP799931', 5, 'EP799931_K50_BS1D.otu_table.biom')	0.0
285	('EP811525', 8, 'EP811525_K80_BS1D.otu_table.biom')	0.0
286	('EP813212', 7, 'EP813212_K70_BS1D.otu_table.biom')	1.0
287	('EP824061', 9, 'EP824061_K90_BS1D.otu_table.biom')	0.0
288	('EP824738', 8, 'EP824738_K80_BS1D.otu_table.biom')	0.0
289	('EP828421', 7, 'EP828421_K70_BS1D.otu_table.biom')	0.0
290	('EP828421', 8, 'EP828421_K80_BS1D.otu_table.biom')	0.0
291	('EP833671', 12, 'EP833671_K120_BS1D.otu_table.biom')	1.0
